"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	7.05522783341291	0.0452723724655576	6.96541488708755	7.144151729604	1.00101626957324	1875.58972781655	3592.30601077987
"HasRC.C"	0.188954074193257	0.0322919576382414	0.125198304585182	0.251692401677372	1.00018799894853	11271.9791859712	11714.5472660447
"EmbeddingBias.C"	-0.0159772629430124	0.0118313324782247	-0.0395167593474587	0.00734130924621617	1.00033200526737	9886.05859709855	11099.8762420368
"HasSC.C"	-0.0321437856371668	0.0435400378331412	-0.116256794034087	0.0541653454372745	1.00103259843902	8726.43466453591	10290.8391464885
"HasRC.C:EmbeddingBias.C"	-0.0232326016595944	0.0246131648550661	-0.0714306813701256	0.0253592561142833	1.00043359747268	10550.6652320135	10681.1781677877
"EmbeddingBias.C:HasSC.C"	-0.0939163113497783	0.0310271725299359	-0.153785931755108	-0.0321010622250399	1.00020980901936	8910.00328221383	10561.8647604806
